appid,name,genres,tags,release_date,collected_at
347400,001 Game Creator: 2025 Edition,"['Animation & Modeling', 'Design & Illustration', 'Education', 'Photo Editing', 'Software Training', 'Utilities', 'Video Production', 'Web Publishing', 'Game Development']",[],"13 Jul, 2015",2026-03-17T13:02:24.702069
365620,WarBirds 2026,"['Action', 'Adventure', 'Massively Multiplayer', 'Simulation', 'Strategy']",[],"5 May, 2015",2026-03-17T13:02:26.646839
459350,Battlesloths 2025: The Great Pizza Wars,"['Action', 'Indie']",[],"6 Jun, 2017",2026-03-17T13:02:28.696385
1172620,Sea of Thieves: 2025 Edition,"['Action', 'Adventure']",[],"3 Jun, 2020",2026-03-17T13:02:30.744028
1591680,Open Mod 2025,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Free To Play', 'Early Access']",[],"26 Jun, 2023",2026-03-17T13:02:32.819571
1613100,Rioters 2025,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']",[],"16 Jul, 2021",2026-03-17T13:02:34.847240
1856000,DIKDIK Video Kit 2025,['Video Production'],[],"17 Jan, 2022",2026-03-17T13:02:36.882667
2511320,Tour de France 2025,"['Casual', 'Racing', 'Simulation', 'Sports', 'Strategy']",[],"5 Jun, 2025",2026-03-17T13:02:40.063016
2574120,PPA Pickleball Tour 2025,"['Indie', 'Simulation', 'Sports']",[],"16 Jul, 2024",2026-03-17T13:02:42.110263
2935400,Pro Basketball Manager 2025,"['Indie', 'Simulation', 'Sports', 'Strategy']",[],"18 Nov, 2024",2026-03-17T13:02:44.158852
2969040,Roulette Simulator 2025,"['Casual', 'Indie', 'Simulation', 'Strategy']",[],"15 May, 2024",2026-03-17T13:02:46.514051
3098060,Business Simulator 2026,"['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",[],"10 Nov, 2025",2026-03-17T13:02:48.561697
3098070,Cinema Simulator 2025,"['Simulation', 'Early Access']",[],"17 Feb, 2025",2026-03-17T13:02:50.538364
3127230,PBA Pro Bowling 2026,"['Indie', 'Simulation', 'Sports']",[],"19 Dec, 2025",2026-03-17T13:02:52.657726
3154850,Draft Day Sports: College Football 2025,"['Indie', 'Simulation', 'Sports', 'Strategy']",[],"30 Aug, 2024",2026-03-17T13:02:54.704626
3168890,Three Kingdoms 2025 阿达三国志2025（战棋·回合）,"['Indie', 'RPG', 'Strategy', 'Free To Play']",[],"30 Sep, 2024",2026-03-17T13:02:56.754054
3276060,Movavi Video Editor 2025,"['Animation & Modeling', 'Audio Production', 'Design & Illustration', 'Software Training', 'Utilities', 'Video Production']",[],"23 Nov, 2024",2026-03-17T13:02:58.801397
3276070,Movavi Video Suite 2025  Steam Edition,"['Animation & Modeling', 'Audio Production', 'Design & Illustration', 'Education', 'Software Training', 'Utilities', 'Video Production', 'Web Publishing']",[],"12 Dec, 2024",2026-03-17T13:03:01.464333
3291290,E-Commerce Simulator 2025,"['Casual', 'Indie', 'Simulation']",[],"1 May, 2025",2026-03-17T13:03:03.506787
3326290,Internet Cafe Simulator 2025,"['Casual', 'Indie', 'Simulation']",[],"12 Jan, 2025",2026-03-17T13:03:05.458493
3355610,PROMIZED LAND: Outer Town 2025,"['Action', 'Adventure', 'Indie', 'Simulation']",[],"21 Dec, 2024",2026-03-17T13:03:07.506211
3366290,Substance 3D Painter 2025,"['Animation & Modeling', 'Design & Illustration', 'Game Development']",[],"11 Mar, 2025",2026-03-17T13:03:09.451659
3366300,Substance 3D Designer 2025,"['Animation & Modeling', 'Design & Illustration', 'Game Development']",[],"11 Mar, 2025",2026-03-17T13:03:11.500033
