appid,name,genres,tags,release_date,current_players,collected_at
2404990,The Dark Pursuer,['Action'],[],"19 May, 2023",1,2026-03-17T22:40:37.547851
4043730,Vampire Hunter: Nightrise,"['Action', 'Adventure']",[],"6 Apr, 2026",0,2026-03-17T22:40:40.415882
985680,过关攒将,"['Indie', 'Strategy']",[],"17 Dec, 2018",0,2026-03-17T22:40:42.978083
4342510,Tom Lander: The Exiled King,"['Action', 'Indie', 'Racing', 'Simulation']",[],Q2 2026,0,2026-03-17T22:40:45.844838
2073530,Stereo Boy,"['Adventure', 'Indie']",[],"9 Aug, 2022",0,2026-03-17T22:40:48.710567
3596370,Bearly Escape,"['Adventure', 'Casual', 'Simulation']",[],"10 Jul, 2025",0,2026-03-17T22:40:51.578182
1064360,Beatcrash,"['Action', 'Casual', 'Indie']",[],"7 May, 2019",0,2026-03-17T22:40:54.241439
2268540,Ragdoll: Fall and Destroy,"['Action', 'Casual', 'Indie', 'Simulation']",[],"1 Feb, 2023",0,2026-03-17T22:40:57.210165
1304790,罗马之链,"['Casual', 'Indie', 'RPG']",[],"3 Aug, 2020",0,2026-03-17T22:40:59.769565
2814860,Vindictus: Defying Fate,"['Action', 'Adventure', 'RPG']",[],To be announced,0,2026-03-17T22:41:02.632540
911680,REZ PLZ,"['Action', 'Adventure', 'Indie']",[],"15 Jul, 2020",0,2026-03-17T22:41:05.298880
1867490,Candy Monsters,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",[],"11 Feb, 2022",0,2026-03-17T22:41:08.110025
2422180,IT Clicker: Dinosaur in the Code World,"['Casual', 'Simulation']",[],"25 Feb, 2024",0,2026-03-17T22:41:11.137063
958220,The Endless Summer - Search For Surf,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Sports']",[],"3 Sep, 2021",0,2026-03-17T22:41:13.504810
1520500,Succubus Cafe,"['Casual', 'Indie', 'Simulation']",[],"13 May, 2021",4,2026-03-17T22:41:16.051971
3363700,Beyond the Bridge,"['Adventure', 'Indie', 'RPG']",[],"11 Dec, 2024",0,2026-03-17T22:41:19.942397
1124180,Rail Route,"['Casual', 'Indie', 'Simulation', 'Strategy']",[],"22 Feb, 2024",115,2026-03-17T22:41:22.604480
3352130,Tsan-shadow ninja,"['Action', 'Adventure', 'Indie']",[],"26 Jun, 2025",0,2026-03-17T22:41:25.472720
3098920,Laser Battle Cats - travel & destroy!,"['Action', 'Adventure', 'Casual', 'Indie']",[],"8 Aug, 2025",0,2026-03-17T22:41:28.341196
1428730,BRoS - Battle Royale of Survival,"['Action', 'Early Access']",[],"10 Mar, 2023",0,2026-03-17T22:41:30.899249
683770,Rover Builder,"['Indie', 'Simulation', 'Strategy']",[],"28 Mar, 2022",0,2026-03-17T22:41:33.552016
1297900,Gothic 1 Remake,"['Action', 'RPG']",[],"5 Jun, 2026",0,2026-03-17T22:41:36.429483
3929340,We Build Below,"['Strategy', 'Early Access']",[],2026,0,2026-03-17T22:41:39.296725
2967580,They Remain,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Strategy']",[],Coming soon,0,2026-03-17T22:41:42.265306
3455380,Chemical-Burn,"['Action', 'Adventure', 'Indie']",[],2026,0,2026-03-17T22:41:45.236156
